metadata.vaccinationRound,state.name,state.ID,district.name,district.ID,totalVaccinations.count,farmersBenefited.count
4,Andhra Pradesh,state_28,Nandyal,district_755,357550,67216
4,Andhra Pradesh,state_28,Y.S.R.,district_504,355550,73548
4,Andhra Pradesh,state_28,Ananthapuramu,district_502,324732,76330
4,Andhra Pradesh,state_28,Anakapalli,district_744,309482,103494
4,Andhra Pradesh,state_28,Annamayya,district_753,307998,83012
4,Andhra Pradesh,state_28,Bapatla,district_750,305624,64233
4,Andhra Pradesh,state_28,Kurnool,district_511,294261,73725
4,Andhra Pradesh,state_28,Sri Sathya Sai,district_754,285394,78218
4,Andhra Pradesh,state_28,Kakinada,district_746,281278,65968
4,Andhra Pradesh,state_28,Krishna,district_510,249211,54063
4,Andhra Pradesh,state_28,East Godavari,district_505,228678,35119
4,Andhra Pradesh,state_28,Parvathipuram Manyam,district_743,217731,52344
4,Andhra Pradesh,state_28,Ntr,district_749,200095,40230
4,Andhra Pradesh,state_28,Dr. B.R. Ambedkar Konaseema,district_747,183745,50225
4,Andhra Pradesh,state_28,West Godavari,district_523,171320,42648
4,Andhra Pradesh,state_28,Guntur,district_506,164947,37108
4,Andhra Pradesh,state_28,Visakhapatnam,district_520,51357,12193
5,Andhra Pradesh,state_28,Prakasam,district_517,624490,97183
5,Andhra Pradesh,state_28,Alluri Sitharama Raju,district_745,575813,81652
5,Andhra Pradesh,state_28,Eluru,district_748,570160,78068
5,Andhra Pradesh,state_28,Sri Potti Sriramulu Nellore,district_515,558112,76542
5,Andhra Pradesh,state_28,Chittoor,district_503,484021,153765
5,Andhra Pradesh,state_28,Tirupati,district_752,436123,78419
5,Andhra Pradesh,state_28,Palnadu,district_751,427763,84107
5,Andhra Pradesh,state_28,Srikakulam,district_519,414002,135190
5,Andhra Pradesh,state_28,Vizianagaram,district_521,380158,113199
5,Andhra Pradesh,state_28,Nandyal,district_755,372288,63681
5,Andhra Pradesh,state_28,Y.S.R.,district_504,369104,69933
5,Andhra Pradesh,state_28,Ananthapuramu,district_502,363434,78698
5,Andhra Pradesh,state_28,Anakapalli,district_744,358315,113501
5,Andhra Pradesh,state_28,Annamayya,district_753,339103,80047
5,Andhra Pradesh,state_28,Sri Sathya Sai,district_754,331291,80110
5,Andhra Pradesh,state_28,Kurnool,district_511,326061,75886
5,Andhra Pradesh,state_28,Bapatla,district_750,321341,61115
5,Andhra Pradesh,state_28,Kakinada,district_746,307713,68172
5,Andhra Pradesh,state_28,Krishna,district_510,270001,53890
5,Andhra Pradesh,state_28,East Godavari,district_505,235089,33013
5,Andhra Pradesh,state_28,Parvathipuram Manyam,district_743,231026,50620
5,Andhra Pradesh,state_28,Ntr,district_749,224999,40798
5,Andhra Pradesh,state_28,Dr. B.R. Ambedkar Konaseema,district_747,192964,48462
5,Andhra Pradesh,state_28,West Godavari,district_523,182815,44230
5,Andhra Pradesh,state_28,Guntur,district_506,175936,36294
5,Andhra Pradesh,state_28,Visakhapatnam,district_520,56438,12538
1,Arunachal Pradesh,state_12,Namsai,district_678,32391,3051
1,Arunachal Pradesh,state_12,East Siang,district_232,12715,1405
1,Arunachal Pradesh,state_12,Lower Dibang Valley,district_235,9286,1071
1,Arunachal Pradesh,state_12,Leparada,district_724,9049,75
1,Arunachal Pradesh,state_12,Lower Siang,district_719,8463,904
1,Arunachal Pradesh,state_12,Tawang,district_238,6293,842
1,Arunachal Pradesh,state_12,Lower Subansiri,district_236,6166,404
1,Arunachal Pradesh,state_12,Lohit,district_234,4819,941
1,Arunachal Pradesh,state_12,Changlang,district_229,4783,1686
1,Arunachal Pradesh,state_12,Papum Pare,district_237,3551,871
1,Arunachal Pradesh,state_12,West Kameng,district_242,2942,211
1,Arunachal Pradesh,state_12,Upper Siang,district_240,2605,102
1,Arunachal Pradesh,state_12,Kurung Kumey,district_233,1615,142
1,Arunachal Pradesh,state_12,East Kameng,district_231,1213,256
1,Arunachal Pradesh,state_12,Kamle,district_718,1119,36
1,Arunachal Pradesh,state_12,Upper Subansiri,district_241,895,205
1,Arunachal Pradesh,state_12,Siang,district_679,859,57
1,Arunachal Pradesh,state_12,Longding,district_666,784,1
1,Arunachal Pradesh,state_12,Shi Yomi,district_725,687,13
1,Arunachal Pradesh,state_12,Kra Daadi,district_677,628,95
1,Arunachal Pradesh,state_12,Tirap,district_239,589,96
1,Arunachal Pradesh,state_12,West Siang,district_243,191,39
1,Arunachal Pradesh,state_12,Pakke Kessang,district_723,76,20
2,Arunachal Pradesh,state_12,Namsai,district_678,69961,4071
2,Arunachal Pradesh,state_12,East Siang,district_232,22626,753
2,Arunachal Pradesh,state_12,Tawang,district_238,21736,1046
2,Arunachal Pradesh,state_12,Lower Subansiri,district_236,19924,712
2,Arunachal Pradesh,state_12,Upper Subansiri,district_241,19521,349
2,Arunachal Pradesh,state_12,Lower Dibang Valley,district_235,16262,474
2,Arunachal Pradesh,state_12,Lower Siang,district_719,13068,855
2,Arunachal Pradesh,state_12,Changlang,district_229,12940,1386
