metadata.recordID,metadata.diseaseName,metadata.diseaseCode,metadata.round,metadata.vaccinationStartDate,metadata.reportDate,country.ID,country.name,state.ID,state.name,district.ID,district.name,daily.vaccinated.cattle,daily.vaccinated.buffalo,daily.vaccinated.total,daily.vaccinated.cattle4to5m,daily.vaccinated.buffalo4to5m,daily.vaccinated.total4to5m,daily.booster.cattle4to5m,daily.booster.buffalo4to5m,daily.booster.total4to5m,daily.farmersCovered,cumulative.tagged.cattle,cumulative.tagged.buffalo,cumulative.tagged.total
90b88667-0b89-4d3f-b4eb-57dc83b37bed,Foot And Mouth Disease,ICD11_1F05,round5,2024-04-01T00:00:00,2024-04-14T00:00:00,country_IN,India,state_29,Karnataka,district_525,Bengaluru Urban,296,19,315,14,2,16,0,0,0,14446,5795,267,
6d69eb44-2522-47ab-8862-a16a9ff2671b,Foot And Mouth Disease,ICD11_1F05,round5,2024-04-01T00:00:00,2024-04-14T00:00:00,country_IN,India,state_29,Karnataka,district_526,Bengaluru Rural,472,94,566,8,0,8,0,0,0,26116,6094,333,
71bd014c-90a0-4e1c-a592-75ce265c5f01,Foot And Mouth Disease,ICD11_1F05,round5,2024-04-01T00:00:00,2024-04-14T00:00:00,country_IN,India,state_29,Karnataka,district_533,Chitradurga,1623,718,2341,21,8,29,0,0,0,48836,1807,933,
1e3f636b-242d-46c5-a459-ece6ae1fe421,Foot And Mouth Disease,ICD11_1F05,round5,2024-04-01T00:00:00,2024-04-14T00:00:00,country_IN,India,state_29,Karnataka,district_630,Chikkaballapura,1383,124,1507,42,13,55,0,0,0,37681,4588,472,
ea49e49c-188a-4340-b29b-88eaa8a8fd35,Foot And Mouth Disease,ICD11_1F05,round5,2024-04-01T00:00:00,2024-04-14T00:00:00,country_IN,India,state_29,Karnataka,district_535,Davangere,1595,545,2140,92,24,116,0,0,0,39406,6063,1761,
ad2cdab4-36ea-48d6-a607-4c5c3468b55d,Foot And Mouth Disease,ICD11_1F05,round5,2024-04-01T00:00:00,2024-04-14T00:00:00,country_IN,India,state_29,Karnataka,district_542,Kolar,1778,149,1927,68,4,72,0,0,0,61845,7953,908,
09ccff5c-35ae-4db7-b216-b6b0f67112fc,Foot And Mouth Disease,ICD11_1F05,round5,2024-04-01T00:00:00,2024-04-14T00:00:00,country_IN,India,state_29,Karnataka,district_631,Ramanagara,806,39,845,44,0,44,0,0,0,36642,5112,190,
8c0e9fc6-1163-4885-b9bd-89164e41b328,Foot And Mouth Disease,ICD11_1F05,round5,2024-04-01T00:00:00,2024-04-14T00:00:00,country_IN,India,state_29,Karnataka,district_547,Shivamogga,12825,1989,14814,31,3,34,0,0,0,48606,3606,596,
6c2c9af1-7771-4248-83d2-04ca2ecb9c6d,Foot And Mouth Disease,ICD11_1F05,round5,2024-04-01T00:00:00,2024-04-14T00:00:00,country_IN,India,state_29,Karnataka,district_548,Tumakuru,3183,747,3930,64,6,70,0,0,0,94964,8068,2725,
63787fbe-e572-4c94-a90d-fd8ec33a2ce5,Foot And Mouth Disease,ICD11_1F05,round5,2024-04-01T00:00:00,2024-04-14T00:00:00,country_IN,India,state_29,Karnataka,district_531,Chamarajanagara,6120,30,6150,20,0,20,0,0,0,32459,1384,35,
