metadata.recordID,metadata.diseaseName,metadata.diseaseCode,metadata.round,metadata.vaccinationStartDate,metadata.reportDate,country.ID,country.name,state.ID,state.name,district.ID,district.name,daily.vaccinated.cattle,daily.vaccinated.buffalo,daily.vaccinated.total,daily.vaccinated.cattle4to5m,daily.vaccinated.buffalo4to5m,daily.vaccinated.total4to5m,daily.booster.cattle4to5m,daily.booster.buffalo4to5m,daily.booster.total4to5m,daily.farmersCovered,cumulative.tagged.cattle,cumulative.tagged.buffalo,cumulative.tagged.total
ff368d58-5ef5-4187-8ba1-ecdec9f96f63,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_525,Bengaluru Urban,3750,114,3864,149,8,157,0,0,0,23452,,,
f6dc2c4a-274a-4896-b138-9c639308385a,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_526,Bengaluru Rural,3429,391,3820,51,0,51,0,0,0,47697,,,
a3f61328-28b9-445e-aae3-2ac51b7b5bb7,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_533,Chitradurga,6453,3987,10440,8,2,10,0,0,0,91877,,,
8be44c5a-ca1b-44c8-ac0a-2d8d39e1fca7,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_630,Chikkaballapura,2363,270,2633,38,3,41,0,0,0,76377,,,
81bc825c-8338-44a2-81db-0bda00925d49,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_535,Davangere,6740,2244,8984,256,82,338,0,0,0,66000,,,
11f06aed-0d0f-4a12-950f-5081cfeb04f8,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_542,Kolar,573,112,685,24,10,34,0,0,0,86597,,,
e62459c3-20dc-4de9-bf9e-fc4b69b3c0f2,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_631,Ramanagara,7102,347,7449,256,10,266,0,0,0,64876,,,
4540adf2-08ab-42da-b76d-6c25028bb966,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_547,Shivamogga,15466,1956,17422,38,1,39,0,0,0,77929,,,
c6925964-520a-4884-9752-cafde75d9db3,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_548,Tumakuru,17651,4931,22582,224,47,271,0,0,0,141443,,,
7039f759-c109-480e-aa56-981545047cda,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_531,Chamarajanagara,5379,83,5462,138,2,140,0,0,0,49155,,,
69e80907-e5e2-4c60-905a-756aa12432cc,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_532,Chikkamagaluru,8565,1322,9887,21,0,21,0,0,0,49133,,,
1d3cc5b7-e6b5-430c-b71a-5c2213b981d6,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_534,Dakshina Kannada,5263,35,5298,131,0,131,0,0,0,56539,,,
eb5a1c91-41b3-4579-b2a7-6369a7fd3b98,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_539,Hassan,20190,3963,24153,112,28,140,0,0,0,157484,,,
59be5f42-f94c-4687-ae32-40262315e812,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_541,Kodagu,2139,65,2204,62,0,62,0,0,0,12006,,,
a61b51b2-900e-44c3-8ba6-ea4bdc95cce1,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_545,Mysuru,11416,358,11774,242,0,242,0,0,0,114652,,,
b5ed11b1-cc87-4daa-8c2e-29dc5759a8a4,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_544,Mandya,8760,2303,11063,170,20,190,0,0,0,168178,,,
28a33628-8d6d-46f1-9ac7-0971dd3fdd14,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_549,Udupi,7682,28,7710,42,0,42,0,0,0,38869,,,
1a9262e4-7832-4184-a7e1-1c88f3ba6338,Foot And Mouth Disease,ICD11_1F05,round3,,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_527,Belagavi,0,0,0,0,0,0,0,0,0,0,,,
b9f498ab-a8da-4a07-b84a-96ee64112b38,Foot And Mouth Disease,ICD11_1F05,round3,,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_524,Bagalkote,0,0,0,0,0,0,0,0,0,0,,,
7cee579b-0584-4a2e-8b1d-846e1be5ad2d,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_536,Dharwad,1982,823,2805,12,0,12,0,0,0,39366,,,
fddf22cf-b9db-47a9-b76e-b817602fd6d9,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_537,Gadag,2669,1116,3785,67,49,116,0,0,0,37849,,,
8e0cef46-dde8-4e1a-a9ca-0e6e0fafee20,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_540,Haveri,7761,2165,9926,108,14,122,0,0,0,88314,,,
5b3e9260-edd8-43e0-93fd-e71cc812d1db,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_550,Uttara Kannada,8838,1207,10045,170,16,186,0,0,0,55384,,,
1431b8eb-b9c4-41e6-9bf0-c9ce2cbd4b9c,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_530,Vijayapura,3655,3938,7593,59,59,118,0,0,0,113829,,,
b3d4c919-b275-4d4d-8290-d67db6c33edc,Foot And Mouth Disease,ICD11_1F05,round3,,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_528,Ballari,0,0,0,0,0,0,0,0,0,0,,,
f5a2d9c2-2829-4128-9568-6e050f37265d,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_529,Bidar,3401,2252,5653,7,8,15,0,0,0,100774,,,
43aac45b-0e9a-46de-ba15-3634f2b54acc,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_543,Koppal,9484,1925,11409,105,17,122,0,0,0,62937,,,
b14b1d50-4f44-40d1-aba7-b5bc49244224,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_538,Kalaburagi,6165,1120,7285,7,0,7,0,0,0,111223,,,
a38bb277-0b8e-4543-9b15-89759b19365e,Foot And Mouth Disease,ICD11_1F05,round3,,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_546,Raichur,0,0,0,0,0,0,0,0,0,0,,,
d6aace5c-71bb-4bee-9839-716f811e7773,Foot And Mouth Disease,ICD11_1F05,round3,,2022-11-30T00:00:00,country_IN,India,state_29,Karnataka,district_635,Yadgir,0,0,0,0,0,0,0,0,0,0,,,
f67a3542-422d-47d6-87b6-99214b1d73ef,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-13T00:00:00,country_IN,India,state_29,Karnataka,district_525,Bengaluru Urban,43,11,54,3,0,3,0,0,0,7632,,,
462960c2-0363-45fb-b86d-5ec5a90f7dbe,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-13T00:00:00,country_IN,India,state_29,Karnataka,district_526,Bengaluru Rural,469,49,518,10,0,10,0,0,0,11950,,,
fe16b6af-21c6-4943-af1e-39e008a0d9f7,Foot And Mouth Disease,ICD11_1F05,round3,2022-11-07T00:00:00,2022-11-13T00:00:00,country_IN,India,state_29,Karnataka,district_533,Chitradurga,1397,596,1993,19,11,30,0,0,0,24992,,,
