metadata.recordID,metadata.diseaseName,metadata.diseaseCode,metadata.round,country.ID,country.name,location.admin.hierarchy,state.ID,state.name,district.ID,district.name,subdistrict.ID,subdistrict.name,village.ID,village.name,vaccinationSchedule
98d9ea16-df77-4cbc-9233-e205d1cb590e,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,admin_0,Neeralakeri,2024-04-27T00:00:00Z
99a61160-62ed-4714-a4e4-943a3f3896a3,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,admin_0,Neeralakeri,2024-04-28T00:00:00Z
1a0e6732-0a25-4f64-a0be-452841040860,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,admin_0,Neeralakeri,2024-04-29T00:00:00Z
a63fe949-854d-4ba2-9039-74f709d77f8c,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598863,Durgadevinagar,2024-04-30T00:00:00Z
bf427d0e-0231-498a-9c2c-6ab2ef335c03,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598796,Gaddankeri,2024-04-01T00:00:00Z
63e4423c-3740-44aa-a3f1-6a16c198b1d7,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598796,Gaddankeri,2024-04-02T00:00:00Z
b0f24086-3f19-47a6-9495-d08663d0e78d,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598796,Gaddankeri,2024-04-03T00:00:00Z
87170eb9-7ac2-4b01-9b51-3dc3256d47c8,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598796,Gaddankeri,2024-04-04T00:00:00Z
4c986b2e-b184-4a31-ba37-04f50a2d57e4,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598797,Simikeri,2024-04-05T00:00:00Z
f44b780a-e11c-4c1f-814d-20d163cd8fcd,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598797,Simikeri,2024-04-06T00:00:00Z
3bc1d3b2-bb72-42ba-864c-5bc5df50876e,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598797,Simikeri,2024-04-08T00:00:00Z
f1bb2428-5a5e-4df1-8cd1-82a86ff1f217,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598797,Simikeri,2024-04-10T00:00:00Z
b78e4c01-ea53-45be-9ef0-f8aac00bae3c,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598797,Simikeri,2024-04-12T00:00:00Z
e386abd5-d558-47c3-8f92-3ac945a5091a,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598803,Durganagar,2024-04-13T00:00:00Z
8c8726a7-1814-4b91-a1f2-d6458037ae56,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598794,Veerapur,2024-04-15T00:00:00Z
1c27d65b-501a-405b-8586-6089933dd1b7,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598794,Veerapur,2024-04-16T00:00:00Z
2192d969-7293-43f5-ab9e-6c04380ea4fe,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598794,Veerapur,2024-04-17T00:00:00Z
c3fde8b9-9a74-4b34-a21a-df040d909ee3,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598782,Anadinni,2024-04-18T00:00:00Z
2eda7ac7-6b5b-4efb-b15e-2ab55af232dd,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598782,Anadinni,2024-04-19T00:00:00Z
a17fdab7-1657-4b65-8f6f-f8ad162afa08,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598782,Anadinni,2024-04-20T00:00:00Z
e300bda1-3f07-4daa-b57a-71df7bdf241e,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598783,Bannidinni,2024-04-22T00:00:00Z
8a1d0146-626a-496f-bd05-ec5008dce731,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598783,Bannidinni,2024-04-23T00:00:00Z
ed5c10e6-fb64-47b2-82e3-ec6b5170ee95,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598783,Bannidinni,2024-04-24T00:00:00Z
6ee5a987-fd18-421e-8479-2c1ff3558f4a,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598786,Kesanur *,2024-04-25T00:00:00Z
6274c056-770e-46c5-a1a9-7fb06d0084ba,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598786,Kesanur *,2024-04-26T00:00:00Z
13482aea-c861-4d40-b14f-932f842af166,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598795,Muranal,2024-04-27T00:00:00Z
0ecbe6ff-4609-458d-b42c-25f716423dd7,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598795,Muranal,2024-04-28T00:00:00Z
c0853d71-fae6-4ebb-b60c-0e074900a53f,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598795,Muranal,2024-04-29T00:00:00Z
76fe5d45-afed-4428-a301-e99850424c67,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598795,Muranal,2024-04-30T00:00:00Z
30719d0c-06b2-435a-8215-d2b0af5b6827,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598789,Kadampur,2024-04-01T00:00:00Z
720a76c7-ef2d-4e47-b7a4-5d4d84b336bc,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598789,Kadampur,2024-04-02T00:00:00Z
3279da3e-bd95-403a-9e9d-4e1aff80552b,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,village_598789,Kadampur,2024-04-03T00:00:00Z
3ee7c5b4-2e02-4821-a5ed-45013d03eeb2,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,admin_0,Yankanchi,2024-04-04T00:00:00Z
01027716-6a28-4ee0-9b31-c467cef6ff92,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,admin_0,Yankanchi,2024-04-05T00:00:00Z
f9904c5a-b916-40c1-b331-1b81f36e1a8c,Foot And Mouth Disease,ICD11_1F05,5,country_IN,India,REVENUE,state_29,Karnataka,district_524,Bagalkote,subdistrict_5447,Bagalkot,admin_0,Yankanchi,2024-04-06T00:00:00Z
