regionID,regionName,parentID
prabhag_251530-44,KALEPADAL - SASANE NAGAR,ulb_251530
prabhag_251530-45,PHURSUNGI,ulb_251530
district_288,GOLAGHAT,state_18
prabhag_251530-46,MOHAMMADWADI - URULI DEVACHI,ulb_251530
district_289,HAILAKANDI,state_18
prabhag_251530-47,KONDHWA BUDRUK - YEOLEWADI,ulb_251530
district_709,HOJAI,state_18
prabhag_251530-48,UPPER SUPER INDIRA NAGAR,ulb_251530
district_290,JORHAT,state_18
district_291,KAMRUP,state_18
prabhag_251530-49,BALAJI NAGAR - KK MARKET,ulb_251530
prabhag_251530-5,KHARADI - CHANDAN NAGAR,ulb_251530
district_618,KAMRUP METRO,state_18
district_292,KARBI ANGLONG,state_18
prabhag_251530-50,SAHAKARNAGAR - TALJAI,ulb_251530
district_293,KARIMGANJ,state_18
prabhag_251530-51,VADGAON - PACHGAON PARVATI,ulb_251530
prabhag_251530-52,NANDED CITY - SUNCITY,ulb_251530
district_294,KOKRAJHAR,state_18
prabhag_251530-53,KHADAKWASLA - NARHE,ulb_251530
district_295,LAKHIMPUR,state_18
prabhag_251530-54,DHAYARI - AMBEGAON,ulb_251530
district_706,MAJULI,state_18
district_296,MARIGAON,state_18
prabhag_251530-55,DHANKAWADI - AMBEGAON PATHAR,ulb_251530
district_297,NAGAON,state_18
prabhag_251530-56,CHAITANYA NAGAR - BHARATI VIDYAPEETH,ulb_251530
prabhag_251530-57,SUKHSAGAR NAGAR - RAJIV GANDHI NAGAR,ulb_251530
district_298,NALBARI,state_18
prabhag_251530-58,KATRAJ - GOKUL NAGAR,ulb_251530
district_300,SIVASAGAR,state_18
prabhag_251530-6,VADGAON SHERI,ulb_251530
district_301,SONITPUR,state_18
district_707,SOUTH SALMARA MANCACHAR,state_18
prabhag_251530-7,KALYANI NAGAR - NAGPUR CHAWL,ulb_251530
district_756,TAMULPUR,state_18
prabhag_251530-8,KALAS - PHULE NAGAR,ulb_251530
district_302,TINSUKIA,state_18
prabhag_251530-9,YERAWADA,ulb_251530
state_27,MAHARASHTRA,country_IN
district_617,UDALGURI,state_18
state_29,KARNATAKA,country_IN
district_710,WEST KARBI ANGLONG,state_18
subdistrict_5433,CHIKODI,district_527
district_188,ARARIA,state_10
subdistrict_5434,ATHNI,district_527
district_611,ARWAL,state_10
district_189,AURANGABAD,state_10
subdistrict_5435,RAYBAG,district_527
subdistrict_5436,GOKAK,district_527
district_190,BANKA,state_10
district_191,BEGUSARAI,state_10
subdistrict_5437,HUKERI,district_527
subdistrict_5438,BELAGAVI,district_527
district_192,BHAGALPUR,state_10
district_193,BHOJPUR,state_10
subdistrict_5439,KHANAPUR,district_527
district_194,BUXAR,state_10
subdistrict_5440,BAILAHONGALA,district_527
subdistrict_5441,SAVADATTI,district_527
district_195,DARBHANGA,state_10
district_196,GAYA,state_10
subdistrict_5442,RAMDURG,district_527
district_197,GOPALGANJ,state_10
subdistrict_5443,JAMKHANDI,district_524
district_198,JAMUI,state_10
subdistrict_5444,BILGI,district_524
district_199,JEHANABAD,state_10
subdistrict_5445,MUDHOL,district_524
subdistrict_5446,BADAMI,district_524
district_200,KAIMUR (BHABUA),state_10
district_201,KATIHAR,state_10
subdistrict_5447,BAGALKOT,district_524
district_202,KHAGARIA,state_10
subdistrict_5448,HUNGUND,district_524
subdistrict_5449,VIJAYAPURA,district_530
district_203,KISHANGANJ,state_10
district_204,LAKHISARAI,state_10
subdistrict_5450,INDI,district_530
district_205,MADHEPURA,state_10
subdistrict_5451,SINDGI,district_530
district_206,MADHUBANI,state_10
subdistrict_5452,BASAVANA BAGEVADI,district_530
subdistrict_5453,MUDDEBIHAL,district_530
district_207,MUNGER,state_10
district_208,MUZAFFARPUR,state_10
subdistrict_5454,BASAVAKALYAN,district_529
district_209,NALANDA,state_10
subdistrict_5455,BHALKI,district_529
district_210,NAWADA,state_10
subdistrict_5456,AURAD,district_529
district_211,PASHCHIM CHAMPARAN,state_10
subdistrict_5457,BIDAR,district_529
district_212,PATNA,state_10
subdistrict_5458,HOMNABAD,district_529
district_213,PURBI CHAMPARAN,state_10
subdistrict_5459,LINGSUGUR,district_546
district_214,PURNIA,state_10
subdistrict_5460,DEVADURGA,district_546
subdistrict_5461,RAICHUR,district_546
district_215,ROHTAS,state_10
subdistrict_5462,MANVI,district_546
district_216,SAHARSA,state_10
district_217,SAMASTIPUR,state_10
subdistrict_5463,SINDHNUR,district_546
subdistrict_5464,YELBARGA,district_543
district_218,SARAN,state_10
district_219,SHEIKHPURA,state_10
subdistrict_5465,KUSHTAGI,district_543
subdistrict_5466,GANGAWATI,district_543
district_220,SHEOHAR,state_10
district_221,SITAMARHI,state_10
subdistrict_5467,KOPPAL,district_543
subdistrict_5468,NARGUND,district_537
district_222,SIWAN,state_10
subdistrict_5469,RON,district_537
district_223,SUPAUL,state_10
district_224,VAISHALI,state_10
subdistrict_5470,GADAG,district_537
subdistrict_5471,SHIRHATTI,district_537
district_44,CHANDIGARH,ut_4
subdistrict_5472,MUNDARGI,district_537
district_646,BALOD,state_22
district_644,BALODABAZAR-BHATAPARA,state_22
subdistrict_5473,DHARWAD,district_536
district_649,BALRAMPUR-RAMANUJGANJ,state_22
subdistrict_5474,NAVALGUND,district_536
subdistrict_5475,HUBBALLI,district_536
district_374,BASTAR,state_22
district_650,BEMETARA,state_22
subdistrict_5476,KALGHATGI,district_536
subdistrict_5477,KUNDGOL,district_536
district_636,BIJAPUR,state_22
district_375,BILASPUR,state_22
subdistrict_5478,KARWAR,district_550
district_376,DAKSHIN BASTAR DANTEWADA,state_22
subdistrict_5479,SUPA,district_550
subdistrict_5480,HALIYAL,district_550
district_377,DHAMTARI,state_22
district_378,DURG,state_22
subdistrict_5481,YELLAPUR,district_550
subdistrict_5482,MUNDGOD,district_550
district_645,GARIYABAND,state_22
district_734,GAURELA-PENDRA-MARWAHI,state_22
subdistrict_5483,SIRSI,district_550
subdistrict_5484,ANKOLA,district_550
district_379,JANJGIR-CHAMPA,state_22
district_380,JASHPUR,state_22
subdistrict_5485,KUMTA,district_550
subdistrict_5486,SIDDAPUR,district_550
district_382,KABEERDHAM,state_22
district_759,KHAIRAGARH-CHHUIKHADAN-GANDAI,state_22
subdistrict_5487,HONAVAR,district_550
subdistrict_5488,BHATKAL,district_550
district_643,KONDAGAON,state_22
district_383,KORBA,state_22
subdistrict_5489,SHIGGAON,district_540
subdistrict_5490,SAVANUR,district_540
district_384,KOREA,state_22
district_385,MAHASAMUND,state_22
subdistrict_5491,HANGAL,district_540
subdistrict_5492,HAVERI,district_540
district_562,MALAPPURAM,state_32
district_760,MANENDRAGARH-CHIRMIRI-BHARATPUR(M C B),state_22
subdistrict_5493,BYADGI,district_540
district_761,MOHLA-MANPUR-AMBAGARH CHOUKI,state_22
subdistrict_5494,HIREKERUR,district_540
subdistrict_5495,RANIBENNUR,district_540
district_647,MUNGELI,state_22
subdistrict_5496,HADAGALLI,district_738
district_637,NARAYANPUR,state_22
district_386,RAIGARH,state_22
subdistrict_5497,HAGARIBOMMANAHALLI,district_738
