metadata.recordID,country.ID,country.name,location.admin.hierarchy,state.ID,state.name,district.ID,district.name,subdistrict.ID,subdistrict.name,location.admin4.ID,location.admin4.name,village.ID,village.name,population.cattle,population.buffalo,population.sheep,population.goat,population.pig,population.poultry
881f288a-a3ca-4e50-9f83-1b484d80cb0d,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598501,HOSA GOVINADINNI,51,66,116,171,0,23
fc9b8057-9616-4966-960d-8b2cb91b111e,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598502,BADAGANDI,89,124,270,337,0,42
2d58cbab-afc7-4d5f-8b04-1787458b1908,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598503,HOSA TAKKALAKI,111,153,3,197,0,20
e910dc58-19a4-4867-a956-09a99d1db6f8,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598505,GUNDANAPALLI PU K,6,5,1,34,0,18
4f9c79d4-210c-4bbb-b22e-cfe201d329c1,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598507,LINGAPUR S R PU K,40,84,412,212,0,83
4e7410d3-8b6d-47f5-8b0b-4aeda17c3e53,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598508,GODIHAL PU K,7,18,0,47,0,5
e7cdf653-58dd-46a1-adb4-3c329023d9ba,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598509,CHINVALKOPPA PU K,2,2,0,18,0,0
9233ab19-1109-46b9-9c77-6818afbff729,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598511,KOPPA S K,494,320,297,410,0,155
0a106132-7c9c-4254-8813-3f7b7ffb4115,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598512,KATARKI,599,522,1472,761,0,606
60bf735a-96d0-421b-8732-f0c83c4a3a42,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598513,LINGAPUR S K,209,148,828,386,0,305
84f9a10c-501f-48a6-a212-ec426b4a7fbf,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598514,SHIRAGUPPI,635,383,703,906,0,1242
621f4573-0123-47f1-a9f7-ff9a05afe66a,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598515,ARAKERI,878,591,833,1208,0,979
454b2694-0f48-4772-af89-935e01ad1014,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598516,DURGAPURA,392,64,83,653,0,687
80a7b42b-bf64-44a4-8c69-65bf7fb1d6a6,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598517,JANAMATTI,416,410,1256,1047,0,750
1436a6e2-def1-4eac-8711-f0d03874c81e,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598518,SUNAGA,314,253,1618,764,0,407
49b4d0e3-75cc-4f25-a90e-ced274c4b7dc,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598519,MANNIKERI,334,571,771,346,0,131
fb8cc3c0-a8f8-4f0a-b392-9047fe86106d,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598520,GIRISAGAR,440,487,1454,667,0,95
0526c218-6398-4050-b37f-d1a28c09f94e,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598521,MUTTALADINNI RC,28,60,86,165,0,21
3b47fe4d-f679-4ae0-ad64-25f81fdc87ef,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598522,KOPPA S R RC,27,58,520,88,0,0
92a48caa-9aeb-4a70-935e-e438787913a2,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598523,HADARIHAL,137,145,200,199,0,41
3c636a8c-10dc-436c-8dc3-3fa19da25615,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598524,BEERKABBI,103,125,210,237,0,51
8db0835a-cbf0-4c15-8e05-957dd4f55ab0,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598526,MANGURA PU K,0,0,10,6,0,0
4da8c53b-d5bb-4d4a-bbef-d24e75adf514,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598527,CHICKSANGAM,24,14,11,111,0,462
64e98a9e-1cf1-498c-b64b-dec268c8aa20,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598528,KANDAGAL,118,113,1585,304,0,78
7b7778f5-d8fe-4ab5-88c8-423d19d5d160,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598533,TOLAMATTI,380,588,786,476,0,116
704c407f-b7bf-4180-944f-356aa10a6d61,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598534,TUMMARMATTI,165,113,164,237,0,63
7b934ff3-0458-42dc-9a1f-c8fdbd4db661,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598535,DATTAPURA,473,160,762,1194,0,1747
21866d17-fece-442b-bd91-229eae3e3e47,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598536,VENKATAPURA,97,6,786,414,0,419
f4014056-4ea2-453f-a03e-4e41f58947eb,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598537,KUNDARGI,443,729,1514,411,0,84
bbae4450-fb99-4893-9510-f4d2bbd1084d,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598538,BAVALATTI,242,209,0,328,0,127
981c331e-ba46-41db-9456-e8cb9cfe7810,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598539,KOVALLI,198,186,497,383,0,375
fb53319a-fb8a-4565-8ec2-de6e9276bc51,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598540,BUDHIHAL S H,377,344,1436,734,0,10279
01187f8b-793c-461d-b15a-6e77ec372108,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598541,ANAGAWADI,65,80,4,206,0,39
89c9610c-9c0d-4fbc-8e45-57fa08545657,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598542,KADAPATTI,240,131,449,473,0,1095
9977ff43-2a24-4721-855b-291066634e95,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5444,BILGI,,,village_598543,YELLIGUTTI,210,64,1737,955,0,1348
875b91b3-5119-410a-857f-b85eee3473cd,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_7063,RABAKAVI BANAHATTI,,,village_598544,SAIDAPUR,1264,1769,606,2393,0,8104
3fdc0daa-5807-4de9-8841-b416efa01f1e,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_7063,RABAKAVI BANAHATTI,,,village_598545,MADHABHAVI,612,1131,358,1357,0,19198
8f2b9872-7050-4dde-9f0b-b3b22a9cf338,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_7063,RABAKAVI BANAHATTI,,,village_598546,BISANAL,1149,911,43,845,0,59
3940d3e5-c4b8-4e92-95ca-e0299e745e94,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_7063,RABAKAVI BANAHATTI,,,village_598547,KESRAKOPPA,1310,1289,842,949,0,73
c5023f12-f394-4f40-8dea-b58a29ff95a7,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5445,MUDHOL,,,village_598551,MUGALKHOD,1643,2025,3456,1211,0,4170
0bc86ef1-8fee-4789-b9a5-57c53a0d954e,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5445,MUDHOL,,,village_598552,KULALI,1598,1498,556,738,0,64
f04d78c0-3f58-442c-8225-8b9714634261,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5445,MUDHOL,,,village_598553,SHIROL,3088,3517,3534,4642,0,47713
dfaeae7a-e24c-4d5e-aa6d-38c6ce4bb002,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5445,MUDHOL,,,village_598554,MALAPUR,602,596,484,465,0,234
53f63ea7-b9ce-4767-9438-b55e70ab77f7,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5445,MUDHOL,,,village_598555,SORAGAVI,683,819,1217,605,0,19
64737e32-55ee-4356-8ce6-b9dd3de8b5a9,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,subdistrict_5445,MUDHOL,,,village_598556,MALALI,840,1088,546,987,0,15662
