metadata.recordID,country.ID,country.name,location.admin.hierarchy,state.ID,state.name,district.ID,district.name,metadata.category,metadata.type,population.cocks ,population.hens ,population.chickens ,population.drakes,population.ducks,population.ducklings,population.turkey,population.quails,population.poultryBirds
4ecafe1b-137c-494d-bfce-1f44248c1e8d,country_IN,India,Revenue,state_27,Maharashtra,district_498,Wardha,Commercial,Indigenous,201,282,15194,2,4,0,,,
6dd1640e-664c-4a1b-b653-851fe951cab0,country_IN,India,Revenue,state_27,Maharashtra,district_471,Bhandara,Commercial,Indigenous,634,923,4897,0,0,0,,,
e71ca1b4-b8ac-4dec-8f76-2e234bbadd3b,country_IN,India,Revenue,state_27,Maharashtra,district_476,Gondia,Commercial,Indigenous,3079,41782,6463,0,5,1,,,
e8d6ea65-c78f-4763-b868-e9977de27ce2,country_IN,India,Revenue,state_27,Maharashtra,district_473,Chandrapur,Commercial,Indigenous,213,543,263,1,5,0,,,
074bf6bb-2079-417a-8d9a-bb369c1d44b8,country_IN,India,Revenue,state_27,Maharashtra,district_475,Gadchiroli,Commercial,Indigenous,327,426,1302,3,279,0,,,
51affeaa-aba1-4d38-a451-ebdfecaf5528,country_IN,India,Revenue,state_27,Maharashtra,district_482,Mumbai,Commercial,Improved,497,2959,0,0,0,0,,,
6774a9ae-0536-4350-8f87-5e1a2f8ba466,country_IN,India,Revenue,state_27,Maharashtra,district_497,Thane,Commercial,Improved,82261,175634,1342107,2,10,3,,,
5b01a3b8-2ecc-4739-892f-fdb5606769f5,country_IN,India,Revenue,state_27,Maharashtra,district_665,Palghar,Commercial,Improved,50971,112097,299536,0,0,0,,,
304f62e9-64c9-45a0-b222-864d6a353b08,country_IN,India,Revenue,state_27,Maharashtra,district_491,Raigad,Commercial,Improved,320322,787777,1472532,7,12,7,,,
9197c7cf-e0fd-4ff2-9979-8bf6d0c613d2,country_IN,India,Revenue,state_27,Maharashtra,district_492,Ratnagiri,Commercial,Improved,2706,5802,33889,0,0,0,,,
57eb50d5-e86f-422b-9f7f-6ce0cdd29bbe,country_IN,India,Revenue,state_27,Maharashtra,district_495,Sindhudurg,Commercial,Improved,1679,7861,318180,0,0,0,,,
520c0669-0700-441e-a2ab-ecb53f2482b8,country_IN,India,Revenue,state_27,Maharashtra,district_487,Nashik,Commercial,Improved,508280,2215408,3791782,0,0,0,,,
ea201412-848d-4b57-80ef-1ee374cb1c22,country_IN,India,Revenue,state_27,Maharashtra,district_474,Dhule,Commercial,Improved,198181,602068,700425,0,0,0,,,
2ccf0de4-3ba7-4e0d-83a1-c1eee3d0a0fb,country_IN,India,Revenue,state_27,Maharashtra,district_486,Nandurbar,Commercial,Improved,3629,50617,195578,0,0,0,,,
122de2f7-f007-4a7c-b499-08d02584f2bd,country_IN,India,Revenue,state_27,Maharashtra,district_478,Jalgaon,Commercial,Improved,27780,6887,629740,0,0,0,,,
191af82d-98b7-4bcf-a4df-93b9a5ad84fc,country_IN,India,Revenue,state_27,Maharashtra,district_466,Ahmednagar,Commercial,Improved,272773,872682,4913494,0,2,0,,,
2cc68f1f-0555-4ba3-89e9-f00feba7fe22,country_IN,India,Revenue,state_27,Maharashtra,district_490,Pune,Commercial,Improved,1102961,6010711,6169275,1,5,2,,,
c5023a5e-d1f9-4f14-a92b-cbbbf9a76eff,country_IN,India,Revenue,state_27,Maharashtra,district_494,Satara,Commercial,Improved,91826,663590,1509665,6,10,0,,,
ddf72b02-44ac-4b1e-aea2-b3b2ba512e63,country_IN,India,Revenue,state_27,Maharashtra,district_493,Sangli,Commercial,Improved,402483,1299659,899543,0,0,0,,,
2ba98b0d-8fe4-44dd-a0fc-4e216bc835f7,country_IN,India,Revenue,state_27,Maharashtra,district_496,Solapur,Commercial,Improved,21483,473707,298669,2,1,5,,,
97dab34e-6e27-483d-9db8-e3c5090bd6a5,country_IN,India,Revenue,state_27,Maharashtra,district_480,Kolhapur,Commercial,Improved,69424,648998,1417254,0,0,0,,,
eb9c0681-8626-4249-8e1d-6c670eda0ce2,country_IN,India,Revenue,state_27,Maharashtra,district_469,Chhatrapati Sambhajinagar,Commercial,Improved,31234,132926,120591,0,0,0,,,
f4835834-74cf-4a46-97b4-cb7d78a0af92,country_IN,India,Revenue,state_27,Maharashtra,district_479,Jalna,Commercial,Improved,1554,4970,0,0,0,0,,,
177496ae-739a-4548-b07e-0dad0c29fd55,country_IN,India,Revenue,state_27,Maharashtra,district_489,Parbhani,Commercial,Improved,1093,11189,613,0,0,0,,,
af805b13-b33f-418d-85c4-b2aa1635e0a8,country_IN,India,Revenue,state_27,Maharashtra,district_470,Beed,Commercial,Improved,34804,94404,395184,0,0,0,,,
4e0debd2-6edc-4881-b791-24e360913375,country_IN,India,Revenue,state_27,Maharashtra,district_481,Latur,Commercial,Improved,74580,18128,7500,0,0,0,,,
d774ec32-1d37-43a0-b6f1-789e11b468ed,country_IN,India,Revenue,state_27,Maharashtra,district_488,Dharashiv,Commercial,Improved,129950,12629,132150,0,0,0,,,
f65ed41e-cc41-40d2-8e0f-1de51cba4151,country_IN,India,Revenue,state_27,Maharashtra,district_485,Nanded,Commercial,Improved,38291,46076,102304,0,0,0,,,
d7dad387-6461-4690-96e8-c46669ea3d24,country_IN,India,Revenue,state_27,Maharashtra,district_477,Hingoli,Commercial,Improved,2,6,17,0,0,0,,,
b97beca5-ed81-4682-838b-2d161d49ec29,country_IN,India,Revenue,state_27,Maharashtra,district_468,Amravati,Commercial,Improved,174347,590966,239435,0,0,0,,,
affc2f35-cdc1-4b44-a204-6c29ad961913,country_IN,India,Revenue,state_27,Maharashtra,district_467,Akola,Commercial,Improved,305,755,105854,0,0,0,,,
c1521254-b55a-47d8-bf63-f7fd26181994,country_IN,India,Revenue,state_27,Maharashtra,district_499,Washim,Commercial,Improved,16000,12065,55,0,0,0,,,
1d23f5f0-23b4-442d-9f26-698256ae2b2e,country_IN,India,Revenue,state_27,Maharashtra,district_472,Buldhana,Commercial,Improved,0,16000,64800,0,0,0,,,
3bea4cef-9575-4a32-a548-4c46325b79b8,country_IN,India,Revenue,state_27,Maharashtra,district_500,Yavatmal,Commercial,Improved,22915,74591,161822,0,0,0,,,
b6e928d0-94a3-4e2b-a655-0335fc039cbb,country_IN,India,Revenue,state_27,Maharashtra,district_484,Nagpur,Commercial,Improved,140827,398367,304316,6,12,0,,,
9a67f70c-d79d-4a7f-b334-0963bbd1b56c,country_IN,India,Revenue,state_27,Maharashtra,district_498,Wardha,Commercial,Improved,502,89360,34430,0,0,0,,,
a902cc5c-0fc9-43fa-992d-3d837f8e336c,country_IN,India,Revenue,state_27,Maharashtra,district_471,Bhandara,Commercial,Improved,50,1850,50,0,0,0,,,
354a9436-88e7-4fb3-a0f2-e15805675bb5,country_IN,India,Revenue,state_27,Maharashtra,district_476,Gondia,Commercial,Improved,33605,157492,57237,0,2,0,,,
9dafd40f-4e5a-43e2-bb7d-088f0c941b4a,country_IN,India,Revenue,state_27,Maharashtra,district_473,Chandrapur,Commercial,Improved,14920,21129,38558,6,5,12,,,
